skill_id,skill_name,skill_category,job_count,pct_of_jobs,avg_salary_for_skill,you_have,status
22,generative ai,ML_AI,35,1.8,162699.0,No,❌ Gap
14,pytorch,ML_AI,35,1.8,193829.0,No,❌ Gap
55,elt,Data Engineering,34,1.8,133633.0,No,❌ Gap
46,kafka,Data Engineering,33,1.7,151719.0,No,❌ Gap
68,teamwork,Soft_Skills,32,1.7,142346.0,Yes,✅ You Have
16,critical thinking,Soft_Skills,32,1.7,111717.0,No,❌ Gap
43,synapse,Cloud,31,1.6,158533.0,No,❌ Gap
90,classification,ML_AI,31,1.6,153354.0,No,❌ Gap
56,git,Tools,29,1.5,192338.0,Yes,✅ You Have
84,scrum,Soft_Skills,29,1.5,111870.0,No,❌ Gap
79,s3,Cloud,28,1.5,126400.0,No,❌ Gap
82,dbt,Data Engineering,28,1.5,151103.0,Yes,✅ You Have
62,natural language processing,ML_AI,28,1.5,160791.0,No,❌ Gap
108,jira,Tools,28,1.5,153661.0,No,❌ Gap
91,regression,ML_AI,27,1.4,153678.0,No,❌ Gap
77,postgresql,Databases,26,1.3,262000.0,No,❌ Gap
60,bigquery,Cloud,25,1.3,116516.0,Yes,✅ You Have
94,docker,Tools,25,1.3,161067.0,Yes,✅ You Have
85,mongodb,Databases,25,1.3,214044.0,No,❌ Gap
72,lambda,Cloud,24,1.2,133757.0,No,❌ Gap
103,mysql,Databases,23,1.2,279475.0,No,❌ Gap
58,terraform,Tools,23,1.2,134500.0,No,❌ Gap
65,tensorflow,ML_AI,23,1.2,178633.0,No,❌ Gap
63,qlik,Visualization,21,1.1,115426.0,No,❌ Gap
88,kpi,BI_Analytics,19,1.0,128128.0,No,❌ Gap
71,glue,Cloud,19,1.0,137300.0,No,❌ Gap
119,clustering,ML_AI,18,0.9,117300.0,No,❌ Gap
21,computer vision,ML_AI,16,0.8,143627.0,No,❌ Gap
116,llm,ML_AI,16,0.8,277500.0,No,❌ Gap
69,mlops,ML_AI,16,0.8,179000.0,No,❌ Gap
51,data cleaning,Data_Analysis,16,0.8,119714.0,Yes,✅ You Have
57,github,Tools,14,0.7,150000.0,Yes,✅ You Have
76,looker,Visualization,14,0.7,59565.0,No,❌ Gap
99,emr,Cloud,14,0.7,140860.0,No,❌ Gap
74,dynamodb,Databases,14,0.7,260200.0,No,❌ Gap
75,r programming,Programming,14,0.7,151490.0,No,❌ Gap
115,scikit-learn,ML_AI,13,0.7,195000.0,Yes,✅ You Have
31,exploratory data analysis,Data_Analysis,13,0.7,112629.0,Yes,✅ You Have
47,neo4j,Databases,12,0.6,155792.0,No,❌ Gap
92,feature engineering,ML_AI,11,0.6,215000.0,Yes,✅ You Have
106,bash,Programming,11,0.6,118440.0,No,❌ Gap
66,pandas,Data_Analysis,10,0.5,177500.0,Yes,✅ You Have
104,amazon web services,Cloud,10,0.5,141125.0,No,❌ Gap
67,numpy,Data_Analysis,10,0.5,190000.0,Yes,✅ You Have
110,confluence,Tools,9,0.5,199199.0,No,❌ Gap
96,neural network,ML_AI,9,0.5,,No,❌ Gap
102,data wrangling,Data_Analysis,9,0.5,118319.0,No,❌ Gap
64,matplotlib,Visualization,9,0.5,,No,❌ Gap
107,cassandra,Databases,8,0.4,168400.0,No,❌ Gap
80,google analytics,BI_Analytics,8,0.4,129488.0,No,❌ Gap
114,seaborn,Visualization,8,0.4,140000.0,No,❌ Gap
73,athena,Cloud,7,0.4,,No,❌ Gap
109,stakeholder management,Soft_Skills,7,0.4,162500.0,No,❌ Gap
111,a/b testing,Data_Analysis,7,0.4,179429.0,No,❌ Gap
126,elasticsearch,Databases,7,0.4,137167.0,No,❌ Gap
121,hypothesis testing,Data_Analysis,6,0.3,113325.0,No,❌ Gap
117,typescript,Programming,6,0.3,150000.0,No,❌ Gap
101,ansible,Tools,5,0.3,150145.0,No,❌ Gap
113,cosmos db,Databases,5,0.3,176800.0,No,❌ Gap
95,fivetran,Data Engineering,5,0.3,131250.0,No,❌ Gap
122,random forest,ML_AI,4,0.2,,No,❌ Gap
32,data storytelling,BI_Analytics,4,0.2,114938.0,No,❌ Gap
97,slack,Tools,4,0.2,,No,❌ Gap
118,redis,Databases,4,0.2,173750.0,No,❌ Gap
100,plotly,Visualization,3,0.2,145000.0,No,❌ Gap
53,apache airflow,Data Engineering,2,0.1,114400.0,No,❌ Gap
128,matlab,Programming,2,0.1,,No,❌ Gap
123,cloud run,Cloud,2,0.1,,No,❌ Gap
89,xgboost,ML_AI,2,0.1,,No,❌ Gap
98,mlflow,ML_AI,2,0.1,,Yes,✅ You Have
112,grafana,Visualization,2,0.1,164050.0,No,❌ Gap
130,cloud functions,Cloud,1,0.1,,No,❌ Gap
125,c++,Programming,1,0.1,,No,❌ Gap
131,dagster,Data Engineering,1,0.1,,No,❌ Gap
105,mixpanel,BI_Analytics,1,0.1,152500.0,No,❌ Gap
124,eda,Data_Analysis,1,0.1,,No,❌ Gap
127,github actions,Tools,1,0.1,,Yes,✅ You Have
120,sqlite,Databases,1,0.1,140400.0,No,❌ Gap
86,notion,Tools,1,0.1,230000.0,No,❌ Gap
129,amplitude,BI_Analytics,1,0.1,115000.0,No,❌ Gap
